R-103057,fig_4609,TRUE
R-102931,fig_7315,TRUE
R-108629,fig_32239,TRUE
R-110949,fig_34791,TRUE
R-104652,fig_31996,TRUE
R-110209,fig_9628,TRUE
R-105237,fig_7063,TRUE
R-103947,fig_21682,TRUE
R-105425,fig_20707,TRUE
R-104558,fig_10853,TRUE
R-102682,fig_8137,TRUE
R-103728,fig_5084,TRUE
R-101072,fig_28042,TRUE
R-101931,fig_33931,TRUE
R-108610,fig_4383,TRUE
R-100523,fig_22672,TRUE
R-102174,fig_20869,TRUE
R-109777,fig_29599,TRUE
R-103126,fig_22957,TRUE
R-102875,fig_32518,TRUE
R-108926,fig_29203,TRUE
R-111170,fig_3365,TRUE
R-105043,fig_28040,TRUE
R-110324,fig_6808,TRUE
R-105634,fig_30410,TRUE
R-104365,fig_3142,TRUE
R-105811,fig_36059,TRUE
R-104908,fig_26064,TRUE
R-102723,fig_5912,TRUE
R-104109,fig_722,TRUE
R-100882,fig_20915,TRUE
R-101786,fig_8960,TRUE
R-109084,fig_12773,TRUE
R-100398,fig_28934,TRUE
R-102162,fig_6852,TRUE
R-110345,fig_21015,TRUE
R-110957,fig_36161,TRUE
R-102366,fig_10227,TRUE
R-100352,fig_2360,TRUE
R-108711,fig_18730,TRUE
R-109820,fig_15577,TRUE
R-100829,fig_8106,TRUE
R-106355,fig_6581,TRUE
R-110617,fig_23932,TRUE
R-104747,fig_10357,TRUE
R-104224,fig_19292,TRUE
R-111367,fig_19996,TRUE
R-103140,fig_4760,TRUE
R-104543,fig_6875,TRUE
R-105981,fig_29556,TRUE
R-109794,fig_35568,TRUE
R-101167,fig_27289,TRUE
R-107787,fig_11903,TRUE
R-105310,fig_7549,TRUE
R-108396,fig_6206,TRUE
R-103607,fig_5458,TRUE
R-102389,fig_2030,TRUE
R-102640,fig_32669,TRUE
R-102587,fig_20116,TRUE
R-104151,fig_9102,TRUE
R-102396,fig_34865,TRUE
R-102107,fig_29509,TRUE
R-109854,fig_13526,TRUE
R-111336,fig_36736,TRUE
R-104927,fig_36669,TRUE
R-105792,fig_33884,TRUE
R-109024,fig_28920,TRUE
R-109304,fig_5781,TRUE
R-105682,fig_3127,TRUE
R-100317,fig_24840,TRUE
R-110768,fig_22340,TRUE
R-100015,fig_35182,TRUE
R-100110,fig_6455,TRUE
R-100186,fig_21954,TRUE
R-100190,fig_28118,TRUE
R-103032,fig_22262,TRUE
R-103035,fig_27529,TRUE
R-103138,fig_31895,TRUE
R-103450,fig_32298,TRUE
R-104400,fig_11575,TRUE
R-105129,fig_34341,TRUE
R-105228,fig_33146,TRUE
R-106656,fig_27310,TRUE
R-103965,fig_36306,TRUE
R-103827,fig_5484,TRUE
R-110259,fig_8241,TRUE
R-111393,fig_36737,TRUE
R-105340,fig_29683,TRUE
R-109912,fig_19664,TRUE
R-110419,fig_34666,TRUE
R-100286,fig_22091,FALSE
R-100286,fig_22092,TRUE
R-103644,fig_14107,FALSE
R-103645,fig_14107,FALSE
R-103645,fig_14108,TRUE
R-105039,fig_23656,FALSE
R-106334,fig_19441,FALSE
R-108638,fig_31708,FALSE
R-100368,fig_29896,FALSE
R-102215,fig_6224,FALSE
R-107405,fig_28889,FALSE
R-109007,fig_27104,FALSE
R-109305,fig_5781,FALSE
R-103376,fig_9148,FALSE
R-106578,fig_22840,FALSE
R-109261,fig_29913,FALSE
R-110422,fig_3833,TRUE
