K-100017;fig_23131;1
K-107271;fig_23131;0
K-100017;fig_23128;0
K-105553;fig_27249;1
K-100028;fig_33761;0
K-100077;fig_24622;1
K-110701;fig_17290;1
K-110603;fig_26453;0
K-102922;fig_19865;1
K-103053;fig_25531;1
K-113509;fig_14006;0
K-100304;fig_2996;0
K-101023;fig_34962;1
K-112834;fig_7876;0
K-112955;fig_34620;0
K-113087;fig_17154;1
K-101213;fig_20795;0
K-101246;fig_26531;0
K-112572;fig_9537;0
K-123014;fig_9222;0
K-108083;fig_10357;0
K-108229;fig_16420;0
K-107350;fig_29292;0
K-109893;fig_3418;0
K-121864;fig_13012;0
K-101351;fig_29943;0
K-124883;fig_35910;1
K-101549;fig_24772;1
K-101753;fig_32017;0
K-101994;fig_21455;1
K-120667;fig_23613;0
K-104291;fig_2021;0
K-121021;fig_14515;0
K-102509;fig_6178;1
K-102663;fig_20394;1
K-122708;fig_7367;0
K-102663;fig_22294;0
K-102959;fig_22148;0
K-102959;fig_35339;1
K-117973;fig_6146;0
K-117979;fig_33047;0
K-118082;fig_12478;1
K-103832;fig_9323;1
K-103270;fig_34601;1
K-100197;fig_10002;0
K-103789;fig_31390;0
K-123049;fig_17661;0
K-110707;fig_18212;0
K-117067;fig_19770;0
K-104861;fig_25675;1
K-103279;fig_34582;1
K-103279;fig_34585;0
K-103481;fig_32352;1
K-103506;fig_19834;0
K-103506;fig_19832;1
K-103691;fig_12132;0
K-104576;fig_21936;1
K-104781;fig_33723;0
K-104790;fig_1326;1
K-105254;fig_9347;1
K-105255;fig_9348;1
K-105255;fig_9347;0
K-105311;fig_17444;1
K-105427;fig_12975;1
K-105427;fig_12976;0
K-105529;fig_33762;0
K-105553;fig_27248;0
K-105750;fig_33723;0
K-106711;fig_1257;1
K-107118;fig_29021;1
K-107426;fig_33801;0
K-108030;fig_7982;0
K-108030;fig_7983;1
K-108030;fig_7984;0
K-108519;fig_8254;0
K-108519;fig_21156;0
K-108674;fig_5672;1
K-108888;fig_22095;0
K-109096;fig_31348;1
K-109157;fig_28756;1
K-109193;fig_12109;0
K-124779;fig_6623;1
K-109362;fig_20628;1
K-109929;fig_31313;1
K-112735;fig_28491;1
K-109193;fig_34562;0
K-113087;fig_17155;0
K-113625;fig_19361;1
K-113640;fig_22096;0
K-114167;fig_6889;0
K-114538;fig_11408;1
K-116686;fig_14829;0
K-116686;fig_14814;1
K-116789;fig_16065;0
K-116791;fig_18369;0
K-116791;fig_18404;1
K-116900;fig_2364;0
K-117055;fig_20910;0
K-117310;fig_14316;1
K-117441;fig_10448;0
K-117441;fig_6468;1
K-117598;fig_34382;1
K-118221;fig_9016;1
K-118359;fig_18353;1
K-118359;fig_18351;0
K-119524;fig_28437;1
K-119981;fig_12245;1
K-120225;fig_23782;0
K-120510;fig_16089;0
K-120587;fig_18328;0
K-120911;fig_33740;1
K-120911;fig_33741;0
K-120912;fig_33741;1
K-120912;fig_33740;0
K-121306;fig_28215;1
K-121369;fig_36107;0
K-121385;fig_16048;1
K-121717;fig_20851;1
K-123140;fig_36679;0
K-123361;fig_18403;1
K-123408;fig_7224;0
K-123684;fig_36682;0
K-124386;fig_15715;0
K-124542;fig_14828;1
K-125056;fig_36654;0
K-125215;fig_12483;1
K-125775;fig_480;1
K-118967;fig_29051;0
K-113161;fig_28491;0
K-125775;fig_29526;0
K-126340;fig_450;1
KP-105595;fig_13011;1
K-124327;fig_9311;1
K-110597;fig_9935;1
K-124034;fig_1350;1
K-111018;fig_1444;1
K-113089;fig_1914;1
K-118486;fig_4584;1
K-117168;fig_2723;1
K-115356;fig_2184;1
K-119952;fig_31497;1
K-106562;fig_8898;1
K-115676;fig_31763;1
K-104062;fig_3924;1
K-103656;fig_18427;1
K-112036;fig_8850;1
K-122805;fig_12847;1
K-122729;fig_14044;1
K-112086;fig_9633;1
K-105912;fig_25141;1
K-113881;fig_12606;1
K-109362;fig_20628;0
K-101615;fig_35876;0
K-100244;fig_17902;0
K-108567;fig_20623;0
K-107292;fig_16821;0
K-114244;fig_28542;0
K-105249;fig_6824;0
K-105111;fig_23274;0
K-105838;fig_33880;0
K-102580;fig_6187;1
K-102760;fig_30152;1
K-102966;fig_8559;1
K-103226;fig_4894;0
K-103870;fig_32545;1
K-104200;fig_17934;1
K-104706;fig_10283;0
K-105561;fig_6856;1
K-109581;fig_18555;1
K-110698;fig_2387;1
K-112614;fig_35032;1
K-113387;fig_17208;1
K-114315;fig_7440;1
K-117397;fig_2677;1
K-117834;fig_21703;0
K-118655;fig_26393;1
K-100916;fig_19723;0
K-100007;fig_21835;0
K-100139;fig_21835;1
K-119860;fig_27331;0
K-120282;fig_27331;1
K-109832;fig_29838;0
K-123534;fig_30349;0
K-120664;fig_33818;1
K-120665;fig_33818;0
K-113817;fig_24049;0
K-102702;fig_2556;0
K-117832;fig_27621;1
K-112357;fig_33743;0
K-109996;fig_6396;0
K-110640;fig_6398;0
K-111292;fig_641;0
K-111918;fig_35181;0
K-116237;fig_35248;0
K-119833;fig_35395;0
K-115175;fig_35419;0
K-122586;fig_35441;0
K-121231;fig_3565;0
K-109324;fig_16546;0
K-109997;fig_1657;0
fig_31695;K-109792;0
fig_31027;K-112346;0
fig_25217;K-115859;0
fig_4577;K-114812;0
K-110817;fig_2254;0
K-108793;fig_35612;0
K-103119;fig_36777;0
K-103121;fig_24070;0
K-113842;fig_14459;0
K-115776;fig_3646;0
K-113067;fig_20360;0
K-113068;fig_20432;0
K-100327;fig_8166;0
K-119478;fig_23606;0
K-104411;fig_17858;0
K-119804;fig_5362;0
K-101487;fig_1100;0
K-111411;fig_24991;0
K-101343;fig_13182;0
K-108938;fig_26368;0
K-109146;fig_23430;0
K-121127;fig_4708;0
K-122088;fig_27583;0
K-110213;fig_20356;0
K-110061;fig_9270;0
K-110157;fig_23071;0
K-110515;fig_6659;0
K-121535;fig_2934;0
K-121434;fig_22595;0
K-111254;fig_6874;0
K-111511;fig_19758;0
K-118433;fig_11790;0
K-119611;fig_4169;0
K-109803;fig_23932;0
K-109659;fig_3992;0
K-109747;fig_33686;0
K-122381;fig_634;0
K-121846;fig_26913;0
K-110667;fig_18429;0
K-101299;fig_17924;0
K-122726;fig_25438;0
K-122647;fig_15075;0
K-116621;fig_30109;0
K-117236;fig_8309;0
K-102609;fig_20099;0
K-102590;fig_20286;0
K-102660;fig_21411;0
K-102643;fig_21551;0
K-109727;fig_30145;0
K-109250;fig_30217;0
K-108705;fig_3477;0
K-109729;fig_3973;1
K-111052;fig_2373;1
K-101065;fig_11006;1
K-109296;fig_33837;1
K-100636;fig_19723;1
K-103640;fig_12173;0
K-114754;fig_26277;0
K-114760;fig_26277;1
K-112357;fig_33743;0
K-105836;fig_33906;0
K-105842;fig_33881;0
K-116789;fig_16065;0
K-102221;fig_20976;1
K-113248;fig_20976;0
K-120282;fig_27331;1
K-108856;fig_34562;1
K-109855;fig_6806;0
K-111646;fig_7917;0
K-101096;fig_28062;0
K-102221;fig_20976;1
K-108705;fig_3477;0
K-110427;fig_2150;0
K-106520;fig_29210;0
K-119379;fig_15409;0
K-118071;fig_23563;0
K-107441;fig_30231;0
K-107976;fig_6425;0
K-107974;fig_18415;0
K-108140;fig_8991;0
K-110340;fig_2507;0
K-110339;fig_26788;0
K-110062;fig_33198;0
K-110081;fig_11679;0
K-104190;fig_25075;0
K-104173;fig_27802;0
K-105772;fig_23383;0
K-105780;fig_31677;0
K-105796;fig_15162;0
K-105795;fig_9813;0
K-106566;fig_35306;0
K-106532;fig_35314;0
K-106522;fig_403;0
K-106254;fig_8846;0
K-106368;fig_11021;0
K-106297;fig_11438;0
K-103277;fig_2483;0
K-120752;fig_13612;0
K-120751;fig_17390;0
K-111745;fig_28283;0
